Time_bri,bri,Time_fre,fre,Time_spa,spa,Time_por,por,Time_qing,qing,Time_mon,mon,Time_cal,cal,Time_sel,sel,Time_ger,ger,Time_jpn,jpn,Time_nap,nap,Time_ita,ita
1600.0,0.0084507042253521,1815.0,0.0608695652173913,1482.0,0.0255474452554744,1200.0,0.0145454545454545,1600.0,0.0204081632653061,1200.0,0.0416666666666666,622.0,0.0045045045045045,970.0,0.0205128205128205,1933.0,0.0947044444444444,1900.0,0.0486231492361927,1795.0,0.2627119047619047,1879.0,0.08195941636250165
1620.0,0.0101810702666101,1823.684210526316,0.0641414615957582,1507.9473684210527,0.0494975378579477,1240.7894736842106,0.0145990029591121,1619.9473684210527,0.1357351916883975,1210.5263157894738,0.1869481548765226,639.0,0.3165937078507855,981.7894736842104,0.0207824212194134,1933.6315789473683,0.0949422024001495,1902.368421052632,0.0569805120221867,1796.0526315789473,0.3542143855355671,1882.578947368421,0.1207063705430413
1640.0,0.0143634927498464,1832.368421052632,0.0733522438159149,1533.8947368421052,0.1166420297023954,1281.578947368421,0.0147806068613353,1639.8947368421052,0.2731386877473271,1221.0526315789473,0.4284036530049285,656.0,0.5826770182286297,993.578947368421,0.0216839260509138,1934.2631578947369,0.0951309100039614,1904.7368421052631,0.0643897187486027,1797.1052631578948,0.4075145593604987,1886.157894736842,0.18108409763358285
1660.0,0.0201396022681963,1841.0526315789475,0.0988546769762829,1559.842105263158,0.2053766006914587,1322.3684210526317,0.0151217042439994,1659.842105263158,0.4892210737201619,1231.578947368421,0.6192163080046629,673.0,0.6599373886941552,1005.3684210526316,0.0233563890749045,1934.8947368421047,0.0952215169039866,1907.1052631578948,0.0702758374684349,1798.157894736842,0.4266636525250839,1889.7368421052631,0.24880867560626177
1680.0,0.0301977246111001,1849.7368421052631,0.1294151944060817,1585.7894736842104,0.3067001500976704,1363.157894736842,0.0156537330989801,1679.7894736842104,0.544168611562284,1242.1052631578948,0.7139954873890508,690.0,0.7472485181523474,1017.157894736842,0.027514706574234,1935.5263157894733,0.0952236363636363,1909.4736842105265,0.0740639362346751,1799.2105263157894,0.4394178340830098,1893.3157894736842,0.32065175298206416
1700.0,0.0443783707396531,1858.421052631579,0.1590310466433016,1611.7368421052631,0.4113446983678673,1403.9473684210527,0.0164081314181527,1699.7368421052631,0.5977026720725737,1252.6315789473683,0.7892500256440466,707.0,0.8848637606394254,1028.9473684210527,0.2063830387648047,1936.157894736842,0.0952236363636363,1911.842105263158,0.0757495124469185,1800.2631578947369,0.4579549514330567,1896.8947368421052,0.39776283600543466
1720.0,0.0625887577874644,1867.1052631578948,0.1897035759228292,1637.6842105263158,0.5100422659488837,1444.7368421052631,0.0174163371933926,1719.6842105263158,0.6936384599928753,1263.157894736842,0.8485478587969885,724.0,1.0,1040.7368421052631,0.679514126650824,1936.7894736842104,0.0952236363636363,1914.210526315789,0.0766462448917557,1801.3157894736842,0.4823241179272407,1900.4736842105262,0.47661224419493275
1740.0,0.0922561471645867,1875.7894736842104,0.2365360190881669,1663.6315789473683,0.6122045455271544,1485.5263157894738,0.020082440947722,1739.6315789473683,0.7986361434995347,1273.6842105263158,0.891192424495651,741.0,1.0,1052.5263157894738,0.7773517503449947,1937.421052631579,0.100752182227558,1916.578947368421,0.0773925395483027,1802.368421052632,0.5115327311818241,1904.0526315789473,0.5536702970691181
1760.0,0.1283228818407233,1884.4736842105265,0.3794679030007565,1689.578947368421,0.729431476882357,1526.3157894736842,0.0486183304260285,1759.578947368421,0.8962951824971798,1284.2105263157896,0.9372303800424588,758.0,0.928250898678209,1064.3157894736842,0.8898446121167897,1938.0526315789475,0.1196925537594357,1918.9473684210527,0.0785899194921159,1803.421052631579,0.547610623601004,1907.6315789473683,0.6254073141465502
1780.0,0.1708225590640849,1893.157894736842,0.7172939288883622,1715.5263157894738,0.8439142856437918,1567.1052631578948,0.1036353928023567,1779.5263157894738,0.9724576565573018,1294.7368421052631,0.9807326210113824,775.0,0.9459408050257636,1076.1052631578948,0.9909116128618212,1938.684210526316,0.1464139670425363,1921.315789473684,0.0833472640518273,1804.4736842105265,0.5925876275889965,1911.2105263157894,0.6882936149457887
